Date,Open,High,Low,Close,Adj Close,Volume
2022-08-10,210.289993,211.419998,209.539993,211.270004,208.528427,2878200
2022-08-11,212.820007,214.039993,210.919998,211.279999,208.538300,2835000
2022-08-12,212.429993,214.990005,211.869995,214.940002,212.150803,2366500
2022-08-15,213.839996,216.080002,213.690002,215.779999,212.979904,4479200
2022-08-16,215.410004,217.199997,214.589996,216.240005,213.433945,2835600
2022-08-17,214.389999,215.779999,213.160004,214.300003,211.519104,4007900
2022-08-18,214.330002,215.279999,213.699997,214.860001,212.071838,1640200
2022-08-19,213.360001,213.470001,211.229996,211.789993,209.041672,2555000
2022-08-22,209.080002,209.440002,206.820007,207.259995,204.570450,3142900
2022-08-23,207.360001,208.580002,206.649994,206.869995,204.185532,2856400
2022-08-24,206.839996,208.520004,206.429993,207.740005,205.044235,1790900
2022-08-25,208.600006,210.820007,208.130005,210.750000,208.015182,1874100
2022-08-26,210.860001,210.919998,203.699997,203.770004,201.125748,3550200
2022-08-29,202.199997,203.949997,201.619995,202.279999,199.655075,3529100
2022-08-30,202.940002,203.130005,198.899994,200.029999,197.434280,4799400
2022-08-31,200.949997,201.559998,198.500000,198.559998,195.983337,2911400
2022-09-01,197.399994,198.889999,195.529999,198.679993,196.101791,4555800
2022-09-02,200.649994,201.360001,195.830002,196.710007,194.157379,3810400
2022-09-06,197.470001,197.669998,194.729996,195.910004,193.367737,5382900
2022-09-07,195.729996,199.940002,195.639999,199.529999,196.940765,3032400
2022-09-08,198.339996,201.179993,197.710007,201.110001,198.500275,2971300
2022-09-09,202.380005,204.850006,202.320007,204.449997,201.796906,2953400
2022-09-12,205.529999,206.990005,205.320007,206.649994,203.968369,2736900
2022-09-13,201.970001,202.550003,197.149994,197.770004,195.203613,5190300
2022-09-14,198.419998,199.199997,196.750000,198.539993,195.963623,2793400
2022-09-15,197.860001,199.369995,195.690002,196.419998,193.871124,2491000
2022-09-16,194.470001,194.860001,192.820007,194.630005,192.104355,4966100
2022-09-19,192.899994,196.080002,192.860001,196.009995,193.466446,3346700
2022-09-20,194.429993,194.750000,192.289993,193.729996,191.216034,3244200
2022-09-21,194.639999,196.410004,190.399994,190.419998,187.948975,3060200
2022-09-22,190.110001,190.509995,187.970001,188.289993,185.846603,5279700
2022-09-23,185.529999,185.869995,181.820007,184.259995,182.641037,8249900
