Date,Open,High,Low,Close,Adj Close,Volume
2022-12-06,27704.060547,27934.070313,27698.310547,27885.869141,27885.869141,60400000
2022-12-07,27670.289063,27786.250000,27646.779297,27686.400391,27686.400391,63000000
2022-12-08,27622.300781,27643.640625,27415.660156,27574.429688,27574.429688,64900000
2022-12-09,27633.960938,27952.800781,27633.960938,27901.009766,27901.009766,70200000
2022-12-12,27741.099609,27865.720703,27734.660156,27842.330078,27842.330078,49600000
2022-12-13,28067.369141,28116.560547,27907.490234,27954.849609,27954.849609,51900000
2022-12-14,28005.029297,28195.689453,27993.779297,28156.210938,28156.210938,54800000
2022-12-15,27991.140625,28163.169922,27987.539063,28051.699219,28051.699219,51100000
2022-12-16,27706.699219,27713.039063,27488.830078,27527.119141,27527.119141,83800000
2022-12-19,27279.919922,27349.580078,27165.779297,27237.640625,27237.640625,58200000
2022-12-20,27257.349609,27339.490234,26416.910156,26568.029297,26568.029297,118500000
2022-12-21,26547.169922,26616.279297,26269.800781,26387.720703,26387.720703,119200000
2022-12-22,26552.429688,26585.279297,26399.310547,26507.869141,26507.869141,73400000
2022-12-23,26207.769531,26291.980469,26106.380859,26235.250000,26235.250000,75700000
2022-12-26,26299.539063,26438.650391,26294.849609,26405.869141,26405.869141,47300000
2022-12-27,26570.779297,26620.490234,26447.869141,26447.869141,26447.869141,50200000
2022-12-28,26309.339844,26354.269531,26199.669922,26340.500000,26340.500000,61500000
2022-12-29,26074.900391,26126.699219,25953.919922,26093.669922,26093.669922,63100000
2022-12-30,26288.000000,26321.369141,26067.919922,26094.500000,26094.500000,52700000
2023-01-04,25834.929688,25840.679688,25661.890625,25716.859375,25716.859375,83300000
2023-01-05,25825.500000,25947.099609,25750.460938,25820.800781,25820.800781,72300000
2023-01-06,25740.080078,26034.060547,25719.609375,25973.849609,25973.849609,68200000
2023-01-10,26176.609375,26316.660156,26132.800781,26175.560547,26175.560547,71200000
2023-01-11,26362.210938,26479.990234,26332.050781,26446.000000,26446.000000,62400000
2023-01-12,26524.939453,26547.609375,26381.929688,26449.820313,26449.820313,77000000
2023-01-13,26391.779297,26409.210938,26090.839844,26119.519531,26119.519531,98300000
2023-01-16,25836.669922,25938.039063,25748.099609,25822.320313,25822.320313,71700000
2023-01-17,25915.509766,26198.689453,25895.300781,26138.679688,26138.679688,68100000
2023-01-18,26251.339844,26816.679688,26211.839844,26791.119141,26791.119141,93400000
2023-01-19,26541.080078,26592.869141,26368.970703,26405.230469,26405.230469,68700000
2023-01-20,26346.689453,26553.529297,26320.960938,26553.529297,26553.529297,60400000
2023-01-23,26880.210938,26938.279297,26788.759766,26906.039063,26906.039063,60200000
2023-01-24,27150.429688,27381.000000,27150.429688,27299.189453,27299.189453,70800000
2023-01-25,27175.880859,27473.900391,27175.880859,27395.009766,27395.009766,63400000
2023-01-26,27444.640625,27502.150391,27284.080078,27362.750000,27362.750000,63300000
2023-01-27,27428.410156,27452.669922,27326.910156,27382.560547,27382.560547,71500000
2023-01-30,27384.769531,27486.419922,27337.250000,27433.400391,27433.400391,65800000
2023-01-31,27458.560547,27494.169922,27302.220703,27327.109375,27327.109375,74600000
2023-02-01,27483.410156,27547.669922,27322.789063,27346.880859,27346.880859,65800000
2023-02-02,27453.669922,27472.439453,27338.429688,27402.050781,27402.050781,73200000
2023-02-03,27455.029297,27612.570313,27445.689453,27509.460938,27509.460938,92800000
2023-02-06,27764.660156,27821.220703,27656.470703,27693.650391,27693.650391,88400000
2023-02-07,27744.900391,27814.960938,27662.109375,27685.470703,27685.470703,74300000
2023-02-08,27690.740234,27719.449219,27458.529297,27606.460938,27606.460938,69000000
2023-02-09,27453.400391,27635.380859,27424.689453,27584.349609,27584.349609,61700000
2023-02-10,27711.250000,27814.019531,27609.330078,27670.980469,27670.980469,88800000
