Date,Open,High,Low,Close,Adj Close,Volume
2022-09-05,140.487000,140.647003,140.128998,140.487000,140.487000,0
2022-09-06,140.429993,142.968002,140.251999,140.429993,140.429993,0
2022-09-07,143.151001,144.981995,142.979996,143.151001,143.151001,0
2022-09-08,144.128006,144.503998,143.337997,144.128006,144.128006,0
2022-09-09,143.856003,143.947006,141.505997,143.856003,143.856003,0
2022-09-12,142.595993,143.485992,142.257004,142.595993,142.595993,0
2022-09-13,142.585007,144.677002,141.895996,142.585007,142.585007,0
2022-09-14,144.404007,144.826004,142.557007,144.404007,144.404007,0
2022-09-15,142.923004,143.794006,142.949997,142.923004,142.923004,0
2022-09-16,143.365005,143.671997,142.871002,143.365005,143.365005,0
2022-09-19,142.764999,143.634003,142.695999,142.764999,142.764999,0
2022-09-20,143.223007,143.901001,142.962006,143.223007,143.223007,0
2022-09-21,143.602005,144.186996,143.378006,143.602005,143.602005,0
2022-09-22,144.315994,145.882996,140.397003,144.315994,144.315994,0
2022-09-23,142.279999,143.317001,141.781998,142.279999,142.279999,0
2022-09-26,143.511002,144.485992,143.438004,143.511002,143.511002,0
2022-09-27,144.459000,144.839996,144.082001,144.459000,144.459000,0
2022-09-28,144.690994,144.817993,144.147995,144.690994,144.690994,0
2022-09-29,144.397995,144.785004,144.210007,144.397995,144.397995,0
2022-09-30,144.431000,144.779999,144.214005,144.431000,144.431000,0
2022-10-03,144.815994,145.278000,144.160995,144.815994,144.815994,0
2022-10-04,144.518997,144.921005,144.319000,144.518997,144.518997,0
2022-10-05,143.787003,144.843994,143.556000,143.787003,143.787003,0
2022-10-06,144.449005,145.132996,144.386993,144.449005,144.449005,0
2022-10-07,145.039001,145.326004,144.759995,145.039001,145.039001,0
2022-10-10,145.481995,145.817993,145.235992,145.481995,145.481995,0
2022-10-11,145.673996,145.845993,145.505005,145.673996,145.673996,0
2022-10-12,145.869995,146.960999,145.878998,145.869995,145.869995,0
2022-10-13,146.737000,147.600998,146.662994,146.737000,146.737000,0
2022-10-14,147.292999,148.492004,147.110001,147.292999,147.292999,0
2022-10-17,148.632004,148.889999,148.431000,148.632004,148.632004,0
2022-10-18,148.970993,149.285004,148.692993,148.970993,148.970993,0
2022-10-19,149.209000,149.781006,149.123993,149.209000,149.209000,0
2022-10-20,149.820999,149.988998,149.567001,149.820999,149.820999,0
2022-10-21,150.175995,151.936996,146.320007,150.175995,150.175995,0
2022-10-24,147.819000,149.451996,147.809006,147.819000,147.819000,0
2022-10-25,148.886993,148.996002,147.554993,148.886993,148.886993,0
2022-10-26,147.979996,148.403000,146.408997,147.979996,147.979996,0
2022-10-27,146.134003,146.860992,145.156006,146.134003,146.134003,0
2022-10-28,146.274002,147.848007,146.028000,146.274002,146.274002,0
2022-10-31,147.811996,148.841995,147.750000,147.811996,147.811996,0
2022-11-01,148.737000,148.807007,146.990997,148.737000,148.737000,0
2022-11-02,147.914993,147.964996,146.852005,147.914993,147.914993,0
2022-11-03,147.891998,148.434006,147.110001,147.891998,147.891998,0
2022-11-04,148.393005,148.393005,146.578995,148.393005,148.393005,0
2022-11-07,146.841003,147.552994,146.113998,146.841003,146.841003,0
2022-11-08,146.623993,146.927002,145.313004,146.623993,146.623993,0
2022-11-09,145.294998,146.557999,145.218994,145.294998,145.294998,0
2022-11-10,146.209000,146.582001,141.537994,146.209000,146.209000,0
2022-11-11,141.733994,142.466003,138.888000,141.733994,141.733994,0
2022-11-14,139.552994,140.768997,138.869003,139.552994,139.552994,0
2022-11-15,140.115005,140.580994,137.809006,140.115005,140.115005,0
2022-11-16,138.964996,140.285004,138.893997,138.964996,138.964996,0
2022-11-17,139.322006,140.714005,138.906006,139.322006,139.322006,0
2022-11-18,140.412003,140.470001,139.649994,140.412003,140.412003,0
2022-11-21,140.253006,142.018005,140.203003,140.253006,140.253006,0
2022-11-22,142.098007,142.238998,141.085999,142.098007,142.098007,0
2022-11-23,141.154999,141.574005,139.587006,141.154999,141.154999,0
2022-11-24,139.278000,139.485992,138.095001,139.278000,139.278000,0
2022-11-25,138.602997,139.591003,138.389008,138.602997,138.602997,0
2022-11-28,139.309998,139.419998,137.514008,139.100006,139.100006,0
2022-11-29,138.718994,139.320999,137.886002,138.718994,138.718994,0
2022-11-30,138.744995,139.882996,138.337997,138.744995,138.744995,0
2022-12-01,137.358994,137.516006,135.539001,137.358994,137.358994,0
2022-12-02,135.149994,135.975998,133.673004,135.149994,135.149994,0
2022-12-05,134.475006,136.580994,134.134003,134.475006,134.475006,0
2022-12-06,136.651993,137.412994,136.007996,136.651993,136.651993,0
2022-12-07,136.886002,137.837997,136.417999,136.886002,136.886002,0
2022-12-08,136.380997,137.223999,136.296005,136.380997,136.380997,0
2022-12-09,136.613998,136.865997,135.612000,136.613998,136.613998,0
2022-12-12,136.712006,137.617996,136.632996,136.712006,136.712006,0
2022-12-13,137.503998,137.942001,134.688004,137.503998,137.503998,0
2022-12-14,135.584000,135.682007,134.681000,135.584000,135.584000,0
2022-12-15,135.348007,137.921005,135.283005,135.348007,135.348007,0
2022-12-16,137.751007,137.751007,136.410004,137.751007,137.751007,0
2022-12-19,136.029999,137.149994,135.772995,136.690002,136.690002,0
2022-12-20,136.994995,137.451996,131.016998,136.994995,136.994995,0
2022-12-21,131.891998,132.475998,131.522003,131.891998,131.891998,0
2022-12-22,132.369995,132.681000,131.654999,132.369995,132.369995,0
2022-12-23,132.356995,133.121002,132.291000,132.356995,132.356995,0
2022-12-26,132.770004,133.237000,132.330002,132.789993,132.789993,0
2022-12-27,132.764008,133.587006,132.647995,132.764008,132.764008,0
2022-12-28,133.485992,134.395004,133.410995,133.485992,133.485992,0
2022-12-29,134.033997,134.188004,132.936005,134.033997,134.033997,0
2022-12-30,132.916000,132.917007,131.541000,132.916000,132.916000,0
2023-01-02,130.845001,131.035004,130.621002,130.845001,130.845001,0
2023-01-03,130.794006,131.182007,129.533997,130.794006,130.794006,0
2023-01-04,131.248001,132.169998,129.964005,131.248001,131.248001,0
2023-01-05,132.246002,133.992004,131.729996,132.246002,132.246002,0
2023-01-06,133.307007,134.740997,132.186996,133.307007,133.307007,0
2023-01-09,131.862000,132.645004,131.326996,131.862000,131.862000,0
2023-01-10,131.729004,132.466003,131.432999,131.729004,131.729004,0
2023-01-11,132.100998,132.854004,132.102997,132.100998,132.100998,0
2023-01-12,131.901993,132.020996,129.569000,131.901993,131.901993,0
2023-01-13,129.171997,129.341995,127.468002,129.171997,129.171997,0
2023-01-16,128.026001,128.809998,127.253998,128.026001,128.026001,0
2023-01-17,128.320999,129.115997,128.022003,128.320999,128.320999,0
2023-01-18,128.281006,131.559006,127.607002,128.281006,128.281006,0
2023-01-19,128.539001,128.772995,127.777000,128.539001,128.539001,0
2023-01-20,128.369995,130.604004,128.354996,128.369995,128.369995,0
2023-01-23,129.384995,130.875000,129.061996,129.354004,129.354004,0
2023-01-24,130.597000,131.069000,129.744003,130.597000,130.597000,0
2023-01-25,130.238998,130.567993,129.292999,130.238998,130.238998,0
2023-01-26,129.237000,130.582993,129.035004,129.237000,129.237000,0
2023-01-27,129.800003,130.255005,129.546005,129.800003,129.800003,0
2023-01-30,129.854004,130.460999,129.205002,129.854004,129.854004,0
2023-01-31,130.479004,130.475998,129.768997,130.479004,130.479004,0
2023-02-01,130.110001,130.395996,129.210007,130.110001,130.110001,0
2023-02-02,128.621994,129.091003,128.093002,128.621994,128.621994,0
2023-02-03,128.746002,131.136993,128.335999,128.746002,128.746002,0
2023-02-06,132.009003,132.891998,131.591003,132.009003,132.009003,0
2023-02-07,132.623001,132.621994,131.160004,132.623001,132.623001,0
2023-02-08,131.042007,131.514008,130.608994,131.042007,131.042007,0
2023-02-09,131.386993,131.809006,130.352005,131.386993,131.386993,0
2023-02-10,131.518997,131.832001,129.834000,131.518997,131.518997,0
2023-02-13,131.550995,132.863998,131.466003,131.550995,131.550995,0
2023-02-14,132.337006,133.117996,131.662003,132.337006,132.337006,0
2023-02-15,132.990997,134.324005,132.554993,132.990997,132.990997,0
2023-02-16,133.903000,134.442993,133.608994,133.903000,133.903000,0
2023-02-17,134.074005,135.080002,134.072006,134.074005,134.074005,0
2023-02-20,134.307007,134.529999,133.929001,134.307007,134.307007,0
2023-02-21,134.335999,135.190994,134.156006,134.335999,134.335999,0
2023-02-22,134.975998,135.048004,134.382996,134.975998,134.975998,0
2023-02-23,134.932007,135.343002,134.643997,134.932007,134.932007,0
2023-02-24,134.628006,136.423996,134.181000,134.628006,134.628006,0
2023-02-27,136.395004,136.475998,135.929001,136.395004,136.395004,0
2023-02-28,136.317001,136.908997,136.022003,136.317001,136.317001,0
2023-03-01,136.348007,136.462006,135.259995,136.348007,136.348007,0
2023-03-02,136.194000,137.065002,136.087997,136.194000,136.194000,0
2023-03-03,136.705002,136.740005,135.828003,136.705002,136.705002,0
2023-03-06,135.869995,136.179001,135.395004,135.860001,135.860001,0
2023-03-07,135.998993,136.947006,135.580994,135.998993,135.998993,0
2023-03-08,137.391006,137.895996,136.505997,137.391006,137.391006,0
2023-03-09,137.225998,137.251999,135.990005,137.225998,137.225998,0
2023-03-10,136.395004,136.979004,134.171997,136.395004,136.395004,0
