Date,Open,High,Low,Close,Adj Close,Volume
2022-06-23,3.117000,3.124000,3.005000,3.068000,3.068000,0
2022-06-24,3.117000,3.141000,3.057000,3.125000,3.125000,0
2022-06-26,null,null,null,null,null,null
2022-06-27,3.183000,3.219000,3.153000,3.194000,3.194000,0
2022-06-28,3.240000,3.253000,3.185000,3.206000,3.206000,0
2022-06-29,3.149000,3.187000,3.093000,3.093000,3.093000,0
2022-06-30,3.035000,3.041000,2.972000,2.972000,2.972000,0
2022-07-01,2.932000,2.932000,2.791000,2.889000,2.889000,0
2022-07-03,null,null,null,null,null,null
2022-07-04,null,null,null,null,null,null
2022-07-05,2.871000,2.871000,2.780000,2.809000,2.809000,0
2022-07-06,2.784000,2.924000,2.746000,2.913000,2.913000,0
2022-07-07,2.937000,3.017000,2.928000,3.008000,3.008000,0
2022-07-08,2.984000,3.101000,2.976000,3.101000,3.101000,0
2022-07-10,null,null,null,null,null,null
2022-07-11,3.049000,3.049000,2.969000,2.991000,2.991000,0
2022-07-12,2.923000,2.971000,2.899000,2.958000,2.958000,0
2022-07-13,2.956000,3.071000,2.900000,2.904000,2.904000,0
2022-07-14,2.943000,3.028000,2.943000,2.960000,2.960000,0
2022-07-15,2.937000,2.971000,2.901000,2.930000,2.930000,0
2022-07-17,null,null,null,null,null,null
2022-07-18,2.960000,3.019000,2.956000,2.960000,2.960000,0
2022-07-19,2.986000,3.038000,2.971000,3.019000,3.019000,0
2022-07-20,2.973000,3.042000,2.943000,3.036000,3.036000,0
2022-07-21,3.077000,3.081000,2.910000,2.910000,2.910000,0
2022-07-22,2.809000,2.823000,2.732000,2.783000,2.783000,0
2022-07-24,null,null,null,null,null,null
2022-07-25,2.814000,2.845000,2.801000,2.820000,2.820000,0
2022-07-26,2.736000,2.796000,2.707000,2.787000,2.787000,0
2022-07-27,2.783000,2.803000,2.723000,2.734000,2.734000,0
2022-07-28,2.769000,2.790000,2.649000,2.681000,2.681000,0
2022-07-29,2.707000,2.728000,2.618000,2.642000,2.642000,0
2022-07-31,null,null,null,null,null,null
2022-08-01,2.658000,2.696000,2.584000,2.606000,2.606000,0
2022-08-02,2.557000,2.754000,2.525000,2.741000,2.741000,0
2022-08-03,2.783000,2.849000,2.746000,2.748000,2.748000,0
2022-08-04,2.683000,2.721000,2.656000,2.676000,2.676000,0
2022-08-05,2.697000,2.869000,2.688000,2.840000,2.840000,0
2022-08-07,null,null,null,null,null,null
2022-08-08,2.792000,2.807000,2.761000,2.765000,2.765000,0
2022-08-09,2.812000,2.814000,2.774000,2.797000,2.797000,0
2022-08-10,2.812000,2.818000,2.674000,2.786000,2.786000,0
2022-08-11,2.739000,2.902000,2.730000,2.888000,2.888000,0
2022-08-12,2.848000,2.879000,2.837000,2.849000,2.849000,0
2022-08-14,null,null,null,null,null,null
2022-08-15,2.804000,2.804000,2.759000,2.791000,2.791000,0
2022-08-16,2.806000,2.871000,2.804000,2.824000,2.824000,0
2022-08-17,2.895000,2.919000,2.860000,2.893000,2.893000,0
2022-08-18,2.866000,2.891000,2.835000,2.880000,2.880000,0
2022-08-19,2.961000,2.998000,2.952000,2.989000,2.989000,0
2022-08-21,null,null,null,null,null,null
2022-08-22,2.981000,3.041000,2.965000,3.037000,3.037000,0
2022-08-23,3.033000,3.078000,2.983000,3.054000,3.054000,0
2022-08-24,3.048000,3.126000,3.048000,3.106000,3.106000,0
2022-08-25,3.108000,3.128000,3.020000,3.026000,3.026000,0
2022-08-26,3.071000,3.087000,3.008000,3.035000,3.035000,0
2022-08-28,null,null,null,null,null,null
2022-08-29,3.099000,3.125000,3.086000,3.110000,3.110000,0
2022-08-30,3.073000,3.151000,3.067000,3.110000,3.110000,0
2022-08-31,3.127000,3.144000,3.103000,3.133000,3.133000,0
2022-09-01,3.217000,3.295000,3.217000,3.265000,3.265000,0
2022-09-02,3.258000,3.288000,3.176000,3.193000,3.193000,0
2022-09-04,null,null,null,null,null,null
2022-09-05,null,null,null,null,null,null
2022-09-06,3.250000,3.353000,3.244000,3.340000,3.340000,0
2022-09-07,3.323000,3.332000,3.250000,3.265000,3.265000,0
2022-09-08,3.231000,3.304000,3.209000,3.292000,3.292000,0
2022-09-09,3.273000,3.325000,3.251000,3.321000,3.321000,0
2022-09-11,null,null,null,null,null,null
2022-09-12,3.268000,3.365000,3.262000,3.362000,3.362000,0
2022-09-13,3.302000,3.458000,3.293000,3.422000,3.422000,0
2022-09-14,3.460000,3.476000,3.383000,3.412000,3.412000,0
2022-09-15,3.465000,3.468000,3.410000,3.459000,3.459000,0
2022-09-16,3.453000,3.490000,3.415000,3.448000,3.448000,0
2022-09-18,null,null,null,null,null,null
2022-09-19,3.510000,3.510000,3.463000,3.490000,3.490000,0
2022-09-20,3.553000,3.602000,3.534000,3.571000,3.571000,0
2022-09-21,3.530000,3.620000,3.503000,3.510000,3.510000,0
2022-09-22,3.548000,3.716000,3.546000,3.708000,3.708000,0
2022-09-23,3.769000,3.773000,3.659000,3.697000,3.697000,0
2022-09-25,null,null,null,null,null,null
2022-09-26,3.783000,3.904000,3.735000,3.878000,3.878000,0
2022-09-27,3.809000,3.992000,3.809000,3.964000,3.964000,0
2022-09-28,3.911000,3.913000,3.703000,3.705000,3.705000,0
2022-09-29,3.818000,3.826000,3.721000,3.747000,3.747000,0
2022-09-30,3.714000,3.804000,3.686000,3.804000,3.804000,0
2022-10-02,null,null,null,null,null,null
2022-10-03,3.712000,3.712000,3.568000,3.651000,3.651000,0
2022-10-04,3.593000,3.659000,3.564000,3.617000,3.617000,0
2022-10-05,3.703000,3.789000,3.697000,3.759000,3.759000,0
2022-10-06,3.763000,3.844000,3.741000,3.826000,3.826000,0
2022-10-07,3.833000,3.910000,3.833000,3.883000,3.883000,0
2022-10-09,null,null,null,null,null,null
2022-10-10,3.888000,3.888000,3.888000,3.888000,3.888000,0
2022-10-11,3.900000,3.970000,3.870000,3.939000,3.939000,0
2022-10-12,3.953000,3.978000,3.884000,3.902000,3.902000,0
2022-10-13,3.860000,4.080000,3.844000,3.952000,3.952000,0
2022-10-14,3.887000,4.031000,3.851000,4.010000,4.010000,0
2022-10-16,null,null,null,null,null,null
2022-10-17,3.939000,4.015000,3.910000,4.015000,4.015000,0
2022-10-18,3.984000,4.067000,3.965000,3.998000,3.998000,0
2022-10-19,4.094000,4.136000,4.067000,4.127000,4.127000,0
2022-10-20,4.123000,4.228000,4.101000,4.226000,4.226000,0
2022-10-21,4.331000,4.333000,4.200000,4.213000,4.213000,0
2022-10-23,null,null,null,null,null,null
